order_id,order_date,order_hour,category,item_name,price,item_order_count,total_spend,category_total_orders,category_total_revenue,category_avg_price
1,2023-01-01,11,Asian,Korean Beef Bowl,17.95,588,17.95,3470,46720.65,13.464164265129684
2,2023-01-01,11,Asian,Tofu Pad Thai,14.5,562,64.45,3470,46720.65,13.464164265129684
2,2023-01-01,11,Italian,Spaghetti,14.5,367,64.45,2948,49462.7,16.7783921302578
2,2023-01-01,11,Mexican,Chicken Burrito,12.95,455,64.45,2945,34796.799999999996,11.815551782682512
2,2023-01-01,11,Italian,Mushroom Ravioli,15.5,359,64.45,2948,49462.7,16.7783921302578
2,2023-01-01,11,American,French Fries,7.0,571,64.45,2734,28237.75,10.3283650329188
3,2023-01-01,12,Mexican,Chicken Burrito,12.95,455,24.9,2945,34796.799999999996,11.815551782682512
3,2023-01-01,12,Mexican,Chicken Torta,11.95,379,24.9,2945,34796.799999999996,11.815551782682512
4,2023-01-01,12,Mexican,Chicken Burrito,12.95,455,12.95,2945,34796.799999999996,11.815551782682512
5,2023-01-01,12,Mexican,Chicken Burrito,12.95,455,12.95,2945,34796.799999999996,11.815551782682512
6,2023-01-01,12,American,Hamburger,12.95,622,21.95,2734,28237.75,10.3283650329188
6,2023-01-01,12,Asian,Potstickers,9.0,205,21.95,3470,46720.65,13.464164265129684
7,2023-01-01,12,Mexican,Chips & Guacamole,9.0,237,9.0,2945,34796.799999999996,11.815551782682512
8,2023-01-01,12,Mexican,Chips & Guacamole,9.0,237,9.0,2945,34796.799999999996,11.815551782682512
9,2023-01-01,12,Asian,Tofu Pad Thai,14.5,562,132.25,3470,46720.65,13.464164265129684
9,2023-01-01,12,Italian,Fettuccine Alfredo,14.5,249,132.25,2948,49462.7,16.7783921302578
9,2023-01-01,12,Asian,Pork Ramen,17.95,360,132.25,3470,46720.65,13.464164265129684
9,2023-01-01,12,Mexican,Chicken Burrito,12.95,455,132.25,2945,34796.799999999996,11.815551782682512
9,2023-01-01,12,Mexican,Chicken Burrito,12.95,455,132.25,2945,34796.799999999996,11.815551782682512
9,2023-01-01,12,Italian,Mushroom Ravioli,15.5,359,132.25,2948,49462.7,16.7783921302578
9,2023-01-01,12,Mexican,Chips & Salsa,7.0,461,132.25,2945,34796.799999999996,11.815551782682512
9,2023-01-01,12,Italian,Shrimp Scampi,19.95,239,132.25,2948,49462.7,16.7783921302578
9,2023-01-01,12,Italian,Eggplant Parmesan,16.95,420,132.25,2948,49462.7,16.7783921302578
10,2023-01-01,13,Italian,Mushroom Ravioli,15.5,359,22.5,2948,49462.7,16.7783921302578
10,2023-01-01,13,American,Mac & Cheese,7.0,463,22.5,2734,28237.75,10.3283650329188
11,2023-01-01,13,American,Hamburger,12.95,622,45.849999999999994,2734,28237.75,10.3283650329188
11,2023-01-01,13,American,Cheeseburger,13.95,583,45.849999999999994,2734,28237.75,10.3283650329188
11,2023-01-01,13,American,Cheeseburger,13.95,583,45.849999999999994,2734,28237.75,10.3283650329188
11,2023-01-01,13,Asian,Edamame,5.0,620,45.849999999999994,3470,46720.65,13.464164265129684
12,2023-01-01,13,American,Cheeseburger,13.95,583,51.349999999999994,2734,28237.75,10.3283650329188
12,2023-01-01,13,American,Cheeseburger,13.95,583,51.349999999999994,2734,28237.75,10.3283650329188
12,2023-01-01,13,American,Veggie Burger,10.5,238,51.349999999999994,2734,28237.75,10.3283650329188
12,2023-01-01,13,Mexican,Chicken Burrito,12.95,455,51.349999999999994,2945,34796.799999999996,11.815551782682512
13,2023-01-01,13,Italian,Mushroom Ravioli,15.5,359,15.5,2948,49462.7,16.7783921302578
14,2023-01-01,13,Asian,Potstickers,9.0,205,9.0,3470,46720.65,13.464164265129684
15,2023-01-01,13,Asian,Orange Chicken,16.5,456,50.5,3470,46720.65,13.464164265129684
15,2023-01-01,13,Italian,Spaghetti,14.5,367,50.5,2948,49462.7,16.7783921302578
15,2023-01-01,13,Mexican,Cheese Quesadillas,10.5,233,50.5,2945,34796.799999999996,11.815551782682512
15,2023-01-01,13,Asian,Potstickers,9.0,205,50.5,3470,46720.65,13.464164265129684
16,2023-01-01,13,Italian,Spaghetti & Meatballs,17.95,470,36.9,2948,49462.7,16.7783921302578
16,2023-01-01,13,Asian,California Roll,11.95,355,36.9,3470,46720.65,13.464164265129684
16,2023-01-01,13,American,French Fries,7.0,571,36.9,2734,28237.75,10.3283650329188
17,2023-01-01,13,American,Hamburger,12.95,622,154.15,2734,28237.75,10.3283650329188
17,2023-01-01,13,Mexican,Steak Tacos,13.95,214,154.15,2945,34796.799999999996,11.815551782682512
17,2023-01-01,13,Italian,Spaghetti,14.5,367,154.15,2948,49462.7,16.7783921302578
